id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
17031061000.0,2.0,4.0,1,2,1,1
17031061100.0,3.0,4.0,1,3,2,2
17031061200.0,4.0,4.0,2,2,1,2
17031061500.0,3.0,5.0,1,2,1,2
17031061800.0,3.0,4.0,3,3,1,1
17031061901.0,3.0,4.0,3,4,1,1
17031061902.0,2.0,4.0,4,4,1,1
17031062000.0,3.0,3.0,2,3,1,1
17031062100.0,2.0,4.0,1,2,1,2
17031062200.0,2.0,4.0,1,2,1,2
17031062300.0,3.0,6.0,1,2,1,2
17031062400.0,4.0,7.0,1,2,1,2
17031062500.0,5.0,7.0,1,2,1,1
17031062600.0,5.0,7.0,3,3,1,1
17031062700.0,4.0,6.0,2,3,1,1
17031062800.0,3.0,5.0,2,2,1,1
17031062900.0,2.0,5.0,1,1,1,1
17031063000.0,1.0,3.0,1,1,1,2
17031063100.0,2.0,3.0,3,3,1,1
17031063200.0,1.0,4.0,5,5,2,2
17031063301.0,1.0,3.0,3,3,2,2
17031063302.0,1.0,3.0,4,4,2,3
17031063303.0,1.0,4.0,5,5,3,3
17031063400.0,2.0,2.0,2,2,1,2
17031070101.0,1.0,4.0,4,5,2,2
17031070102.0,2.0,2.0,3,3,1,2
17031070103.0,2.0,3.0,4,4,1,1
17031070200.0,1.0,3.0,3,3,1,1
17031070300.0,2.0,3.0,1,1,1,2
17031070400.0,3.0,3.0,1,2,1,2
17031070500.0,4.0,4.0,2,3,1,1
17031070600.0,5.0,5.0,3,3,1,1
17031070700.0,6.0,7.0,4,4,1,1
17031071000.0,3.0,5.0,1,1,1,1
17031071100.0,3.0,5.0,1,1,1,2
17031071200.0,1.0,5.0,2,3,1,1
17031071300.0,2.0,4.0,3,4,1,1
17031071400.0,2.0,3.0,3,4,1,1
17031071500.0,3.0,4.0,3,4,1,2
17031071600.0,3.0,4.0,2,2,1,1
17031071700.0,4.0,5.0,1,2,1,1
17031071800.0,3.0,5.0,1,3,1,1
17031080100.0,4.0,4.0,2,3,1,2
17031080201.0,4.0,5.0,2,3,1,2
17031080202.0,4.0,5.0,1,3,1,1
17031080300.0,4.0,5.0,2,3,1,1
17031080400.0,6.0,6.0,1,2,1,1
17031081000.0,4.0,4.0,1,1,1,1
17031081100.0,3.0,3.0,1,2,1,1
17031081201.0,3.0,3.0,1,2,1,1
17031081202.0,3.0,3.0,2,3,1,2
17031081300.0,1.0,1.0,2,3,1,2
17031081401.0,1.0,1.0,3,3,1,2
17031081402.0,1.0,2.0,2,3,1,3
17031081403.0,1.0,1.0,2,3,1,3
17031081500.0,1.0,2.0,1,1,2,2
17031081600.0,2.0,3.0,1,1,2,2
17031081700.0,3.0,4.0,1,1,2,2
17031081800.0,4.0,5.0,1,1,2,2
17031081900.0,5.0,6.0,1,2,1,2
17031090100.0,4.0,10.0,5,6,1,1
17031090200.0,3.0,9.0,4,7,1,1
17031090300.0,2.0,8.0,3,7,1,1
17031100100.0,4.0,6.0,4,5,1,1
17031100200.0,2.0,7.0,2,7,1,1
17031100300.0,1.0,7.0,1,8,1,1
17031100400.0,1.0,7.0,2,8,1,1
17031100500.0,1.0,6.0,1,9,1,2
17031100600.0,4.0,4.0,3,7,1,1
17031100700.0,3.0,4.0,3,7,1,1
17031110100.0,6.0,6.0,3,6,1,1
17031110200.0,5.0,6.0,3,6,1,1
17031110300.0,4.0,5.0,5,5,1,1
17031110400.0,4.0,5.0,4,6,1,1
17031110501.0,7.0,8.0,1,8,1,1
17031110502.0,8.0,9.0,1,9,1,1
17031120100.0,6.0,8.0,5,5,1,1
17031120200.0,8.0,8.0,5,5,1,1
17031120300.0,7.0,8.0,4,6,1,1
17031120400.0,8.0,9.0,2,9,1,1
17031130100.0,4.0,8.0,5,5,1,1
17031130200.0,6.0,7.0,3,5,1,1
17031130300.0,3.0,7.0,4,4,1,1
17031140100.0,2.0,6.0,1,1,1,1
17031140200.0,4.0,8.0,1,2,1,1
17031140301.0,6.0,7.0,3,4,1,1
17031140302.0,6.0,6.0,3,4,1,1
17031140400.0,5.0,6.0,2,3,1,1
17031140500.0,4.0,6.0,2,2,1,1
17031140601.0,5.0,7.0,3,3,1,1
17031140602.0,6.0,6.0,2,3,1,1
17031140701.0,4.0,8.0,1,1,1,1
17031140702.0,5.0,8.0,1,2,1,1
17031140800.0,2.0,6.0,1,2,1,1
17031150200.0,3.0,6.0,1,4,1,1
17031150300.0,3.0,8.0,3,6,1,1
17031150401.0,3.0,6.0,5,6,1,1
17031150402.0,2.0,7.0,5,6,1,1
17031150501.0,5.0,7.0,7,8,1,1
17031150502.0,4.0,7.0,8,8,1,1
17031150600.0,1.0,7.0,5,7,1,1
17031150700.0,1.0,7.0,3,6,1,1
17031150800.0,3.0,5.0,4,5,1,1
17031151001.0,3.0,6.0,5,6,1,1
17031151002.0,4.0,5.0,5,6,1,1
17031151100.0,1.0,7.0,4,7,1,1
17031151200.0,1.0,6.0,5,8,1,1
17031160100.0,5.0,5.0,1,3,1,1
17031160200.0,4.0,5.0,1,2,1,1
17031160300.0,3.0,7.0,1,3,1,1
17031160400.0,5.0,7.0,2,4,1,1
17031160501.0,6.0,7.0,2,3,1,1
17031160502.0,6.0,6.0,3,3,1,1
17031160601.0,3.0,7.0,1,2,1,1
17031160602.0,4.0,7.0,2,3,1,1
17031160700.0,5.0,7.0,3,4,1,1
17031160800.0,5.0,5.0,2,4,1,1
17031160900.0,4.0,7.0,1,3,1,1
17031161000.0,2.0,6.0,1,3,1,1
17031161100.0,3.0,5.0,2,3,1,1
17031161200.0,2.0,6.0,3,4,1,1
17031161300.0,1.0,7.0,3,4,1,1
17031170100.0,1.0,5.0,6,8,1,1
17031170200.0,3.0,6.0,7,9,1,1
17031170300.0,1.0,4.0,7,7,1,1
17031170400.0,4.0,6.0,6,9,1,1
17031170500.0,4.0,6.0,4,9,1,1
17031170600.0,4.0,6.0,4,8,1,1
17031170700.0,5.0,5.0,5,8,1,1
17031170800.0,4.0,6.0,6,9,1,1
17031170900.0,5.0,6.0,6,8,1,1
17031171000.0,2.0,3.0,6,7,1,1
17031171100.0,3.0,5.0,7,9,1,1
17031180100.0,2.0,3.0,5,6,1,1
17031190100.0,3.0,5.0,5,6,1,1
17031190200.0,4.0,4.0,6,7,1,1
17031190300.0,6.0,6.0,8,9,1,1
17031190401.0,3.0,4.0,7,7,1,1
17031190402.0,3.0,4.0,7,7,1,1
17031190601.0,2.0,5.0,6,6,1,1
17031190602.0,4.0,4.0,6,6,1,1
17031190701.0,7.0,7.0,8,8,1,1
17031190702.0,6.0,6.0,7,7,1,1
17031190800.0,5.0,6.0,7,7,1,1
17031190900.0,4.0,6.0,6,7,1,1
17031191000.0,6.0,8.0,6,7,1,1
17031191100.0,6.0,8.0,5,6,1,1
17031191200.0,6.0,6.0,7,7,1,1
17031191301.0,2.0,4.0,5,5,1,1
17031191302.0,4.0,4.0,5,5,1,1
17031200100.0,2.0,6.0,4,5,1,1
17031200200.0,3.0,7.0,5,6,1,1
17031200300.0,4.0,8.0,6,7,1,1
17031200401.0,5.0,9.0,6,7,1,2
17031200402.0,5.0,9.0,6,7,1,1
17031210100.0,6.0,7.0,4,4,1,1
17031210400.0,1.0,7.0,4,4,1,2
17031210501.0,1.0,9.0,2,2,1,1
17031210502.0,2.0,9.0,2,3,1,1
17031210601.0,4.0,10.0,1,2,1,1
17031210602.0,4.0,10.0,1,2,1,1
17031210700.0,5.0,8.0,2,2,1,1
17031210800.0,6.0,8.0,3,3,1,1
17031210900.0,7.0,7.0,3,4,1,1
17031220300.0,6.0,7.0,2,3,1,1
17031220400.0,6.0,7.0,1,2,1,2
17031220500.0,5.0,8.0,1,2,1,1
17031220601.0,6.0,8.0,1,3,2,2
17031220602.0,5.0,9.0,1,2,1,2
17031220701.0,4.0,10.0,4,5,1,1
17031220702.0,3.0,10.0,3,4,1,1
