id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
6037191302.0,1.0,1.0,2,2,1,1
6037191410.0,3.0,3.0,1,3,1,1
6037191610.0,4.0,5.0,4,4,1,1
6037191620.0,4.0,5.0,4,4,1,1
6037191710.0,4.0,4.0,5,5,1,1
6037191720.0,4.0,4.0,4,5,1,1
6037191810.0,3.0,3.0,4,4,1,1
6037191820.0,3.0,3.0,4,5,1,1
6037191901.0,2.0,2.0,2,3,1,1
6037191902.0,3.0,3.0,3,4,1,1
6037192001.0,4.0,4.0,4,5,1,2
6037192002.0,4.0,4.0,5,6,1,2
6037192410.0,4.0,4.0,5,5,1,1
6037192510.0,5.0,5.0,3,5,1,2
6037192520.0,5.0,6.0,2,6,1,1
6037192610.0,5.0,6.0,1,6,1,2
6037192620.0,5.0,5.0,2,5,1,2
6037194101.0,2.0,4.0,2,4,1,1
6037194102.0,3.0,3.0,3,5,1,1
6037194401.0,3.0,3.0,6,7,1,1
6037194402.0,2.0,2.0,6,6,1,1
6037195201.0,3.0,3.0,4,4,1,1
6037195202.0,3.0,3.0,3,4,1,1
6037195710.0,2.0,2.0,5,6,1,1
6037195720.0,1.0,1.0,6,7,1,1
6037195802.0,1.0,4.0,5,5,1,1
6037195804.0,2.0,3.0,4,5,1,1
6037195902.0,3.0,4.0,4,5,1,1
6037195903.0,3.0,4.0,3,4,1,1
6037199120.0,4.0,5.0,7,8,1,1
6037199201.0,1.0,10.0,3,4,1,1
6037199202.0,3.0,8.0,2,2,1,1
6037201110.0,4.0,4.0,2,3,1,1
6037201120.0,3.0,3.0,2,4,1,1
6037201301.0,6.0,7.0,4,5,1,1
6037201302.0,5.0,5.0,2,3,1,1
6037201401.0,6.0,6.0,4,5,1,1
6037201402.0,3.0,4.0,6,7,1,1
6037201501.0,3.0,3.0,3,5,1,1
6037201503.0,4.0,4.0,3,4,1,1
6037201504.0,4.0,4.0,4,5,1,1
6037201601.0,5.0,5.0,5,6,1,1
6037201602.0,3.0,3.0,4,5,1,2
6037203710.0,2.0,2.0,2,4,1,1
6037203720.0,2.0,3.0,1,4,1,1
6037204110.0,3.0,4.0,2,4,1,1
6037204120.0,4.0,5.0,3,5,1,1
6037204410.0,1.0,3.0,1,2,1,1
6037204420.0,2.0,2.0,1,2,1,1
6037204810.0,5.0,5.0,4,4,1,1
6037204820.0,5.0,6.0,4,6,1,1
6037204910.0,3.0,4.0,2,6,1,1
6037204920.0,4.0,5.0,3,6,1,1
6037205110.0,5.0,7.0,5,6,1,1
6037205120.0,6.0,6.0,5,6,1,1
6037206010.0,2.0,4.0,1,3,1,1
6037206020.0,2.0,3.0,1,2,1,1
6037206031.0,5.0,7.0,2,3,1,1
6037206032.0,2.0,4.0,1,1,1,1
6037206050.0,4.0,7.0,3,4,1,1
6037207101.0,2.0,3.0,1,2,1,1
6037207102.0,1.0,2.0,1,2,1,1
6037207103.0,1.0,3.0,1,3,1,1
6037207301.0,3.0,4.0,1,2,1,1
6037207302.0,2.0,5.0,1,1,2,2
6037207502.0,3.0,5.0,1,1,1,1
6037207710.0,2.0,2.0,1,1,1,1
6037208301.0,2.0,2.0,5,5,1,1
6037208302.0,1.0,1.0,5,5,1,1
6037208401.0,1.0,2.0,4,6,1,2
6037208402.0,1.0,1.0,6,6,1,1
6037208501.0,1.0,2.0,4,6,1,1
6037208502.0,1.0,1.0,4,7,1,2
6037208610.0,1.0,3.0,4,5,1,1
6037208620.0,1.0,3.0,4,6,1,1
6037208720.0,2.0,3.0,3,5,1,1
6037208801.0,2.0,2.0,1,6,1,1
6037208802.0,3.0,3.0,2,6,1,1
6037208902.0,2.0,2.0,3,8,1,1
6037208903.0,1.0,1.0,2,7,1,2
6037208904.0,2.0,2.0,3,7,1,1
6037209102.0,1.0,4.0,5,7,1,1
6037209103.0,1.0,4.0,5,7,1,1
6037209104.0,2.0,3.0,4,6,1,1
6037209401.0,5.0,5.0,2,4,1,1
6037209402.0,4.0,4.0,1,6,1,1
6037209403.0,3.0,3.0,2,7,1,1
6037209510.0,5.0,5.0,2,5,1,1
6037209520.0,4.0,4.0,2,6,1,2
6037209810.0,6.0,6.0,3,6,1,2
6037209820.0,5.0,5.0,3,5,1,1
6037210010.0,3.0,5.0,3,7,1,1
6037211120.0,1.0,5.0,2,5,1,1
6037211121.0,2.0,2.0,3,4,1,1
6037211122.0,2.0,4.0,2,5,1,1
6037211201.0,4.0,5.0,2,4,1,2
6037211202.0,4.0,5.0,1,4,1,1
6037211310.0,3.0,4.0,3,3,2,2
6037211320.0,3.0,4.0,2,3,1,2
6037211410.0,4.0,6.0,4,4,1,1
6037211420.0,3.0,5.0,4,4,1,1
6037211701.0,4.0,9.0,2,5,1,2
6037211703.0,4.0,8.0,2,5,1,1
6037211704.0,3.0,8.0,1,4,1,2
6037211802.0,1.0,6.0,1,2,2,2
