tract_id,house_num,shape_area,shape_length,shape_area_c,shape_length_c,target
520300,1026.0,1592669.5961629427,162953.48050203596,1487440.316540144,151497.88362032536,1
530100,428.0,897501.969861295,76662.99031200384,834262.1329337645,71151.65570339594,1
570200,342.0,5068799.65704131,123533.09497307712,4767409.9237061525,116004.22762636653,1
580400,733.0,1299722.7645839944,116063.82125259144,1229971.7076880916,109103.55018017864,1
580600,1034.0,1744104.6895006876,169050.43846710125,1635413.0964182576,157944.44953753584,1
600600,657.0,1454753.425176144,126124.69881264676,1330567.6267892506,115206.20356977262,1
600700,379.0,799015.723967202,73808.83811701096,721374.1201276382,66316.5288942872,1
610300,110.0,1625009.5385515548,40023.59559591089,1533443.951434066,37312.69702816506,1
611000,258.0,1159753.2784181857,56586.40671609224,1094512.36765927,53306.992806179056,1
611100,452.0,813094.2204097714,84099.9984431903,738829.7660596805,76390.82156687664,1
611200,501.0,1110287.751362611,101574.29851300524,1005033.5951712078,91627.00091183891,1
611300,625.0,1509828.488728859,129225.59200039388,1373052.429789572,116451.86155433278,1
611400,786.0,1587506.0449781695,143842.82097982563,1439518.6738514495,129332.4948946828,1
611500,566.0,1566920.1080083232,98272.42664794918,1451448.115435908,90882.10838100876,1
611600,548.0,932722.2041055696,87377.01906881049,864897.7659234513,81440.15064236894,1
630100,312.0,1587202.7071367565,70170.68525491023,1459772.562484963,64629.15205844071,1
630200,496.0,3437546.0394789358,115300.42144225788,3230256.538493396,108821.36046847352,1
630400,1349.0,2031582.902863972,208786.06717473315,1930168.6636750356,197691.5908806602,1
650100,875.0,1550283.1144150496,131984.60607883424,1434510.6926039292,121809.95651149208,1
660400,1255.0,1843845.0241150607,186819.39319224076,1726985.0570245294,174601.93779429572,1
660500,1122.0,2050965.6394774504,173538.1004333783,1923259.4394563728,163099.41318906224,1
660600,1069.0,2301669.194828663,198536.64941586912,2165322.7727568424,186445.55735247416,1
660700,731.0,1566192.0572616816,133048.44533121563,1458547.0070063148,124043.00526439972,1
670600,529.0,1309265.652960697,100473.27643420771,1222213.3346902544,93398.3502069385,1
