,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
174,477.0,60100.0,70266.0,1805.0,1137.0,2911.0,1006.0,2911.0,1075.0,948.0,140701.0,41.97,-87.71,0.0
175,779.0,51324.0,72708.0,2047.0,948.0,6133.0,2060.0,6154.0,1137.0,998.0,140702.0,41.96,-87.71,0.0
176,733.0,69545.0,101054.0,2224.0,1064.0,6800.0,2600.0,6800.0,1336.0,948.0,140800.0,41.96,-87.7,0.0
177,892.0,64545.0,76834.0,2041.0,983.0,7682.0,2972.0,7701.0,1147.0,889.0,150200.0,41.96,-87.75,0.0
178,1121.0,74106.0,83759.0,1887.0,1077.0,8145.0,2991.0,8150.0,1148.0,972.0,150300.0,41.96,-87.76,0.0
179,1013.0,70203.0,84272.0,1802.0,972.0,5266.0,1811.0,5266.0,1131.0,1037.0,150401.0,41.96,-87.77,0.0
180,322.0,64545.0,83391.0,2127.0,1037.0,3662.0,1260.0,3668.0,1148.0,941.0,150402.0,41.96,-87.77,0.0
181,529.0,65893.0,85314.0,1748.0,1066.0,4045.0,1432.0,4050.0,1131.0,941.0,150501.0,41.96,-87.78,0.0
182,535.0,57857.0,78450.0,1810.0,1050.0,4221.0,1506.0,4243.0,1210.0,941.0,150502.0,41.96,-87.78,0.0
183,440.0,65543.0,80604.0,1923.0,1000.0,3899.0,1370.0,3899.0,1148.0,844.0,150600.0,41.95,-87.77,0.0
184,426.0,69265.0,84631.0,1940.0,1148.0,3994.0,1474.0,3994.0,1077.0,844.0,150700.0,41.95,-87.76,0.0
185,650.0,54414.0,75261.0,1938.0,993.0,4901.0,1704.0,4914.0,1148.0,922.0,150800.0,41.95,-87.75,0.0
186,344.0,49674.0,63073.0,1905.0,1009.0,2404.0,884.0,2404.0,1148.0,821.0,151001.0,41.94,-87.75,0.0
187,571.0,48225.0,60421.0,1858.0,922.0,4360.0,1528.0,4360.0,1076.0,880.0,151002.0,41.94,-87.75,0.0
188,787.0,58269.0,69708.0,1977.0,1028.0,5602.0,1760.0,5612.0,1148.0,821.0,151100.0,41.94,-87.76,0.0
189,514.0,54671.0,72838.0,1860.0,844.0,3687.0,1217.0,3687.0,1148.0,976.0,151200.0,41.94,-87.77,0.0
190,309.0,65161.0,81147.0,1982.0,1147.0,2683.0,946.0,2688.0,1067.0,870.0,160100.0,41.96,-87.74,0.0
191,339.0,74219.0,100531.0,2485.0,889.0,3048.0,1248.0,3093.0,1334.0,925.0,160200.0,41.96,-87.74,0.0
192,148.0,51511.0,64851.0,1358.0,925.0,3709.0,1859.0,3834.0,1334.0,889.0,160300.0,41.96,-87.73,1.0
193,569.0,49216.0,67025.0,1980.0,992.0,4697.0,1807.0,4708.0,1080.0,925.0,160400.0,41.96,-87.72,0.0
194,670.0,56477.0,71125.0,2068.0,1075.0,4237.0,1298.0,4237.0,1137.0,948.0,160501.0,41.96,-87.71,0.0
