,label,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race)
682,0,-0.5917819228026271,-0.33952856803045,1.6257160278398708,-0.44134424385595533,-0.8400226142465222,-0.3566758529573879,2.739420698549174,-0.09763487828813612,-0.4041400637910871,-0.5515042528371431,-0.6206993551829559,-1.530872359844934,-0.4964243544734503,1.7288159214510008,-0.8926313072882083,0.9673118737212425,0.5578089692403317,-0.36597620530308883,-0.37257638220483186,-1.4998066009675912,-1.7959708194796487,-0.11165234204967249,-1.064042668158993,1.3530801380061028,0.14678834211723885,-0.4274087819096422,0.5695344098483893,-2.0054025546482483,1.5895743973956304,-1.9472676455033764,-1.4509411637184184,-0.19262989039447162,-0.6471132181571125,-0.10456406817711693,-0.9806432608587137,2.268316281693313,1.4949398160735918,-0.8741777547831006,-0.4389286341730025,-0.5212125823803545,-0.7745563915376762
683,0,-0.2525645536751728,-0.33952856803045,2.5206325918295875,0.2953172204729311,-0.8400226142465222,-0.7122377900716863,4.203556404707192,0.012644856848357472,-0.6344999001520067,-0.6048885800768374,-1.643611674338083,-0.26559273596356314,-0.24407869571572047,-0.25643273574765785,-0.6262352908009273,-1.0235947556313592,-0.22826161295519506,-0.36597620530308883,-0.37257638220483186,0.22087413125888528,0.4804853025443664,0.29799625084981796,-0.6853548271627833,0.7885661423440897,-0.7666272879933831,-0.4580064501579507,0.0905582970210783,-1.5342440102624437,0.2216756807725546,-0.968247054795613,-1.281439413184478,0.05458191104759872,-0.31406683414320363,-0.21695186557411802,-1.0216803843217095,0.5137834878122026,1.2043352601859376,-0.8966416514893836,-0.4389286341730025,0.25053234425725107,-0.71585388085264
684,0,-0.5095474090747594,-0.33952856803045,0.9265624622229052,2.539564937381864,1.0346945216750811,-0.22334012653952592,-0.539418418058217,-0.1527747458563828,-1.0323941629572315,-0.5248120892172957,-0.9798068714820963,0.6183697409946549,-0.17197993607065473,-0.23734380635151686,-0.7768069522937383,-2.1234662501688084,-0.3405574104116989,-0.36597620530308883,-0.37257638220483186,-0.2080491817019176,0.9554293855565706,-0.9216393325554837,-1.2871980030317596,1.0847046318717033,2.2780914790420232,1.8674163367134933,0.8090224662620448,-1.6889527860309166,-0.11033857083498806,-0.3594443345235587,-0.8422757868010873,2.1617682185776275,-0.6153945149176926,-0.5231117274487075,-1.136584330018098,0.1628769290359808,0.6715602410585709,-0.8392339154622158,-0.4389286341730025,0.27196970333051784,1.0210498176516676
685,0,-0.8898820350661477,-0.33952856803045,0.7307994638501547,0.34671220635634187,-0.3840103379412674,-0.8011282743502608,0.9453389177639978,-0.6490335539706036,-0.048129407596938824,0.26260673756819564,-0.4357045740591564,-0.9068988466979565,0.3327113814448052,0.5834801576825439,-0.2787622258175175,0.5774840022396129,0.6521374391037954,-0.36597620530308883,-0.37257638220483186,-1.6843433751484018,0.005541219532161755,-2.0854137442017637,-0.9964198394096698,0.982907026096586,1.3815909531927093,-0.09083443117824899,-0.20880177349599097,-0.9927632950727873,1.0052293145663551,-2.3833020262387667,-1.258325538111668,-0.36920974856737904,-0.3933635922417534,-0.3603431932875334,-1.4484664683368667,1.6226482135450648,1.4253158078921748,-0.8966416514893836,-0.4389286341730025,-0.08174672137838469,-0.7020415253973372
686,0,-0.9926751772259824,-0.33952856803045,1.0663931753462983,-0.5270025536616398,0.7813543681721619,-0.09000440012166415,-0.9930942706705604,0.7846030028038119,1.0408443642910448,0.2225684921384248,-0.12012524155385099,-0.26559273596356314,-0.2801280755382532,-0.27552166514379883,-1.205357065773277,1.050846417610162,1.245059249674135,-0.36597620530308883,-0.33729921644789596,-2.3127659034398103,-1.2555172077761054,-1.6757651513022733,-1.5035910550295934,1.8250508556907372,2.3626670003485626,-0.8863738056342693,-0.7476499004267158,-0.23328385039119165,0.3544813814155716,-2.1529442401898815,-2.0596065406357495,-0.8047733987272173,-0.9167221956921817,0.7480330155242711,-0.4553680805323664,0.8085449971842295,1.473749900540117,-0.9091215941039853,-0.4389286341730025,-0.15677747813481857,-0.6226204815293471
687,0,0.46698744144367,-0.33952856803045,-0.7793722378824914,-0.16723765247776493,-0.6373504914441868,-0.44556633723596256,2.471339512914608,-1.1452923620848243,0.7057755114024342,-0.6582729073165317,0.13016181526070106,-0.4389187118377236,-0.604572493941049,0.3735019343249935,-0.05869595132802453,0.1319664348320397,0.4275458441907877,-0.36597620530308883,-0.37257638220483186,-1.454919277518205,-1.3701588829859477,-1.4057694878003362,-0.9220347277854144,1.0106700094898,1.1109492850117841,-0.8863738056342693,-0.7476499004267158,0.5050989430492486,0.6732150629588124,-1.4536438182557645,-0.9193220370437873,-0.8047733987272173,-0.6312538665374026,-0.7556382048218133,-0.003959722439411704,1.2015603430135984,-1.2325050261636645,1.419635697780692,-0.4389286341730025,-0.5962433391367884,-0.8850552351800973
688,0,0.1894459576121164,-0.33952856803045,1.010460890096941,0.1582639247838361,-0.08000215373776405,1.3322433483355292,0.6772577321294314,-0.31819434856112305,-0.676383506763083,-1.0186171161844686,-0.1418893334507689,-0.7682380659986282,1.3060446366531917,0.010812275798315422,-0.44091632280977544,0.6331736981655606,0.5128906502577303,-0.36597620530308883,-0.26674488493402415,-0.8015593473104703,-0.5349123921713812,-0.6516436690535469,-0.9152724449104821,0.16852617989564883,2.0581951236450218,-0.029639094681632124,-0.1489297593925771,0.2871002135573095,1.2974018559809926,-1.1410153943322772,-1.0965284126019974,-0.4280697012916815,-0.21891072442494383,-0.5502398164755697,-0.6031017249991516,0.6541461113226915,0.7351299876589956,-0.5172513960054919,-0.4389286341730025,-0.4247444665506538,-0.014876841496030774
689,0,-0.31424043897107357,-0.33952856803045,1.9053774540866573,2.1969316981591263,-0.8400226142465222,1.732250527589115,0.1410953608602982,-0.4836139512658633,-0.4041400637910871,-0.48477384378752514,-1.9809550987403057,-0.1269319552642347,1.2339458770081264,-0.8481895470280273,-1.3095989852683,-2.3740698818355686,-1.4185970659941356,-0.36597620530308883,-0.37257638220483186,-0.9511837588084248,-0.6167993030355545,-1.0799126525393776,-1.2871980030317596,1.6584729553314548,1.9228742895545592,0.5823142702845373,1.527486635503011,-0.26141271871273214,-0.42907225237822905,-0.40880671724831996,0.21325784152390503,3.456687178512282,0.9229625921941724,-1.1741858640934038,-1.4566738930294658,-0.7494801237821967,0.8562152192788516,-0.8866576973977023,-0.4389286341730025,-0.5962433391367884,2.512784206824353
690,0,-0.5917819228026271,-0.33952856803045,0.786731749099512,-0.818240807000967,-0.3840103379412674,0.8433456848033688,-0.31258049175204533,0.5089036649625781,-0.46696547370770164,-0.324620862068442,0.05398749362148956,0.8436935096310636,0.4048101410898707,-0.4282331003129264,-0.45249875830922237,-1.051439603594331,-0.10249031980391057,-0.36597620530308883,-0.37257638220483186,0.939071306449067,0.4477305381986972,0.8193671872673516,0.44394641295091386,-0.8309412222600471,-0.7158819752094595,0.5823142702845373,0.7491504521586309,0.7090332383804183,-1.0001367651432025,0.5455326820970628,0.06686996606277432,0.43128560848313463,-0.6788319213965324,0.4031187407541642,0.1766036207977701,-1.1284592072605166,0.7775098187259449,-0.5596832008951377,0.05278645717475983,-0.26396427350115265,0.537617376716075
691,0,-0.5198267232907429,0.7130891370522969,-0.6395415247590983,-1.0580840744568834,-0.43467836864185133,-0.6455699268627553,0.5741495838084443,2.3836591622829677,-0.21566383404124392,-0.0977374712997411,-0.0874791037084749,1.3983366324283768,0.7653039393151991,-0.5427666766897721,0.3119419846542792,-0.2578614366495899,-0.2102942853621542,-0.36597620530308883,0.5446299274755015,0.5300979150213246,0.7261460351368859,0.9217793354922237,0.836158819696988,-0.6921263052939782,-0.9019481220838456,-0.3662134454130253,0.6892784380552169,1.215352868168149,-0.4157916823139274,1.2777413591810207,0.43669196722773534,-0.5575615972851469,0.09827630796925516,0.4341222710705782,0.5951822801203281,-0.4406823520591214,0.28408749987503185,0.03186607903698305,0.216691487624014,-0.18893351674471878,-0.491403104703972
692,0,-0.5609439801546767,-0.33952856803045,-0.24801552801359747,-0.2700276242445864,0.07200193836398751,-0.8233508954199046,-1.3849052342903114,0.4537637973943313,0.18223042876398066,1.3970236914117005,0.08663363146686603,0.16772220372183788,0.04431634286454222,-0.218254876955376,-0.8231366942915262,0.897699753813809,1.4561753488923626,-0.36597620530308883,0.19185826990614258,1.238320129444976,1.3812413220502715,1.4245298813234173,0.21402879520321494,-1.2751489565514675,-0.7835423922546908,-0.8863738056342693,0.21030232522790612,2.3123787327082312,-0.9602950549502973,-0.1702218674119744,-0.14115490959251575,-0.8989493230861012,-1.2339092280863806,1.4029825934585196,2.006859327247386,-1.3670756672283477,1.2194709141384197,-0.781826179435048,1.2001216703195385,-0.19965219628135217,-0.39126352765302785
693,0,-1.136585576249751,-0.33952856803045,-0.4158123837616693,-0.5612658775839136,0.4266781532680748,-0.44556633723596256,-0.41568864007303247,0.8948827379403055,1.1664951841242734,1.2769089551223884,-0.5554070794922029,0.2543851916589181,-1.3255600903917057,-0.29461059453993976,-1.240104372271618,1.050846417610162,1.2495510815723956,-0.36597620530308883,-0.12563622190628057,-0.5023105243145614,0.2839567164703508,0.23282488379762603,-1.1790014770328425,0.7608031589508759,-0.022362700495839268,-0.8863738056342693,-0.1489297593925771,0.6035499821746411,-0.8142087842429786,-0.14554067604959345,-0.726706411437037,-0.12199794712530869,-1.122893766748411,1.1975842051122756,0.3982040874979478,-0.468754876761219,1.0953585517280668,-0.8517138580768175,0.05278645717475983,-0.19965219628135217,0.2648233564738478
694,0,-0.9823958630099989,-0.33952856803045,-0.8632706657565273,-0.8696357928843776,0.2240060304657393,-1.534474769648501,-0.8487428630211784,1.3911415460545258,1.7109820700682652,2.518094563445282,-0.7186377687190849,0.28905038683375034,-0.4603749746509174,-0.8481895470280273,-1.3095989852683,1.2875276252954366,1.752636254177533,0.44023224695878804,0.7210157562601811,-0.9112839157423037,1.0373162964207439,1.080052655476118,-0.9964198394096698,-0.33120752118219926,-0.34374968146068774,-0.8863738056342693,-0.7476499004267158,0.9903219215958241,-1.0798201855290126,0.11772536514913245,-0.08722253442262598,-0.8636333514515198,-1.39250274428348,1.9649215804435254,1.76884401116201,-1.1705679943136633,1.292122053110333,-0.8317459498934547,-0.4389286341730025,0.1004708307443833,-0.6157143038016958
695,0,-0.7254130076104123,2.397277465184692,0.3392734671046537,0.8777937271515855,-0.4853463993424351,0.8655683058730124,-0.20947234343105817,-0.20791461342462958,-0.4041400637910871,-0.618234661886761,-0.6533454930283323,0.6530349361694872,0.8374026989602649,-0.4664109591052083,-0.6609825972992683,-1.3716553551685269,-0.19232695776911365,-0.36597620530308883,-0.19619055342015235,0.12112452359358229,-0.9771017108379166,1.350048318978055,-0.8138382017864974,0.5479536196029036,0.1298732378559311,-0.029639094681632124,-0.08905774528916319,0.3996156868434715,-0.38923054218532394,-0.3512172707360983,-0.20279190978667622,1.184693003354206,-0.0920359114672644,-0.17044657009949687,-0.6605536978473457,-0.005558219176605975,1.080222897775585,-0.9091215941039853,-0.4389286341730025,0.12190818981765014,1.1246424835664373
696,0,-0.46843015221082557,-0.33952856803045,-0.19208324276424016,2.094141726392305,-0.08000215373776405,-0.2677853686788135,0.7391226211220235,-1.1452923620848243,-0.8439179332073882,-0.8050798072256913,-0.19629956319306288,0.4103785699456625,0.18851386215467372,-0.4664109591052083,-0.035531080329130625,-1.9424747384094814,-0.9694138761681204,-0.36597620530308883,-0.37257638220483186,0.29069885662459727,-0.8788374178009087,0.10248214969324279,-0.6785925442878509,0.8903637481192067,0.3497695932529325,0.7659002797743883,1.2281265649859416,0.8567097970685059,-0.043935720513479534,-0.6227103757222852,-0.37999828534488633,2.1264522469430456,0.9705406470533023,-0.6975065854785368,-1.1529991794032963,-0.04766700622975248,-0.14576507237545705,-0.7344023974995615,-0.11111857327449425,-0.5319312619169879,2.112225898620576
